,COMUNIDAD,S_AMOR,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_ANUAL,SEXO,EDAD,ESTUDIOS,SIT_LABORAL,STATUS,NACIONALIDAD,RELIGION,BIENESTAR,OCUPACION_Agricultor,OCUPACION_Autónomo,OCUPACION_Comerciante,OCUPACION_Director,OCUPACION_Mando,OCUPACION_Obrero,OCUPACION_Otro,F_SEXO_Diariamente,F_SEXO_Mensualmente,F_SEXO_Ocasionalmente,F_SEXO_Regularmente,F_SEXO_Sin actividad sexual
91,2,5,10,5,1,3,2,5,4,5,7,8,1,0,1,3,0,1,0,1,26,4,2,2,1,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92,12,5,8,4,1,4,4,5,4,5,10,10,0,0,3,3,0,2,0,0,34,2,2,1,1,1,4.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
93,12,4,14,4,1,4,5,5,5,5,8,10,0,0,1,3,0,1,0,1,38,3,0,1,1,1,3.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
94,1,4,22,4,1,3,3,4,3,5,7,8,0,0,1,3,0,1,0,1,39,2,2,1,1,1,3.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
95,1,2,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,2,1,1,26,4,2,1,1,1,4.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,12,4,2,4,0,3,3,4,3,4,8,8,1,1,2,3,0,1,0,1,45,2,2,1,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
97,12,2,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,1,0,1,78,2,2,1,1,1,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
98,3,4,46,4,1,4,4,5,4,5,10,10,0,0,1,3,0,1,1,1,68,2,2,1,1,0,2.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
99,3,5,22,4,1,3,3,4,4,4,8,8,0,0,1,3,0,1,0,1,42,2,0,1,1,1,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
100,12,1,0,5,0,3,3,4,3,4,6,5,1,0,6,3,1,2,1,0,18,2,0,1,0,1,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
101,1,4,13,4,1,4,5,5,5,5,10,10,0,0,2,3,0,1,0,1,33,3,2,1,1,1,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102,1,3,10,3,1,1,4,4,3,4,8,9,0,0,4,2,0,1,0,1,37,3,2,1,1,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,2,5,6,5,1,4,4,4,3,5,6,6,1,0,1,3,0,1,0,1,24,2,2,1,1,1,3.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
104,2,4,30,5,1,4,5,4,4,5,7,9,0,0,1,3,0,1,0,1,49,2,2,1,1,1,3.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
105,1,5,42,5,1,3,3,4,4,4,10,10,0,0,1,3,0,1,0,1,65,1,2,1,1,1,2.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,12,5,10,4,1,4,5,5,3,5,7,7,1,0,2,3,0,1,0,1,29,3,2,1,0,1,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,15,2,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,0,0,0,19,2,1,1,1,0,3.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108,6,3,0,0,0,0,0,0,0,0,9,0,0,0,3,3,1,1,0,0,43,2,2,1,1,1,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
109,12,5,54,5,1,3,4,5,4,5,6,6,0,0,1,3,0,1,0,1,70,2,2,1,1,1,2.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,2,4,34,4,1,2,4,4,5,4,9,9,0,0,1,3,0,1,1,1,55,2,2,1,1,1,3.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
